Intersection,LineA,LineB,X,Y,Z_A,Z_B,Delta_Z,TrcNo_A,TrcNo_B
0,"""LT2""","""LX2""",137.1425737388287,210.24724522866404,1794.75,1765.727,29.02299999999991,476,115
1,"""LT2""","""WY22""",139.38303501945524,158.72431552882915,1679.8,1686.0,-6.2000000000000455,494,575
2,"""LT2""","""WY24""",139.9040716040716,142.9292734292734,1637.8,1676.9,-39.100000000000136,499,446
3,"""LT2""","""WY80""",139.95408409859837,141.52632365218156,1637.8,1693.125,-55.325000000000045,499,162
4,"""LX2""","""WY22""",112.97248242634863,173.18005686754603,1797.941,1767.333,30.607999999999947,100,605
5,"""LX2""","""WY80""",110.75850743563667,169.9980044100323,1801.353,1768.5,32.853000000000065,99,122
6,"""WY22""","""WY24""",147.2486308871851,154.39335523913837,1657.0,1665.0,-8.0,566,432
7,"""WY22""","""WY25""",258.57507418397626,92.79811168060426,1477.46,1446.179,31.28099999999995,439,311
8,"""WY22""","""WY80""",100.47692307692309,180.01818181818183,1803.667,1791.0,12.666999999999916,619,107
9,"""WY24""","""WY80""",139.3641196013289,142.10134702506795,1677.75,1693.125,-15.375,447,162
10,"""WY25""","""WY80""",234.0997542997543,49.53660933660933,1276.462,1323.125,-46.66300000000001,261,294
